input;output;note
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"TESTONEPAY","transactionId": "","cardType": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state":"","page":0};[{"field": "merchantId", "value": "TESTONEPAY", "condition": "equal"}];{filter merchant id}
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"TESTONEPAY,TESTTRAGOP","transactionId": "","cardType": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state":"","page":0};[{"field": "merchantId", "value": "TESTONEPAY,TESTTRAGOP", "condition": "in"}];{filter multi merchant id}
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"","transactionId": "32436799","cardType": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state":"","page":0};[{"field": "id", "value": "32436799", "condition": "equal"}];{filter transaction id}
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"","transactionId": "","cardType": "","orderInfo": "TESTAPPLE","transaction_ref": "","card_number": "","transaction_type": "","transaction_state":"","page":0};[{"field": "orderInfo", "value": "TESTAPPLE", "condition": "equal"}];{filter order info}
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"","transactionId": "","cardType": "","orderInfo": "","transaction_ref": "TEST_8bb7be","card_number": "","transaction_type": "","transaction_state":"","page":0};[{"field": "merchantTransactionRef", "value": "TEST_8bb7be", "condition": "contain"}];{filter tran ref}
{"fromDate": "18/05/2023 12:00 AM","toDate": "18/05/2023 11:59 PM","merchantIds":"","transactionId": "","cardType": "","orderInfo": "","transaction_ref": "","card_number": "4098","transaction_type": "","transaction_state":"","page":0};[{"field": "cardNumber", "value": "4098", "condition": "contain"}];{filter tran ref}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Purchase","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Purchase", "condition": "equal"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Refund","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Refund", "condition": "contain"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Request refund","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Request refund", "condition": "equal"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Void Purchase","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Void Purchase", "condition": "equal"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Authorize","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Authorize", "condition": "equal"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "Capture","transaction_state": "","page": 0};[{"field": "transactionType", "value": "Capture", "condition": "equal"}];{filter by transaction_type}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state": "Successful","page": 0};[{"field": "state", "value": "Successful", "condition": "equal"}];{filter by transaction_state}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state": "Failed","page": 0};[{"field": "state", "value": "Failed", "condition": "equal"}];{filter by transaction_state}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state": "Incomplete","page": 0};[{"field": "state", "value": "Incomplete", "condition": "equal"}];{filter by transaction_state}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state": "Waiting for Authentication","page": 0};[{"field": "state", "value": "Waiting for Authentication", "condition": "equal"}];{filter by transaction_state}
{"fromDate": "30/03/2023  12:00 AM","toDate": "30/03/2023  11:59 PM","merchantIds": "","cardType": "","transactionId": "","orderInfo": "","transaction_ref": "","card_number": "","transaction_type": "","transaction_state": "Waiting for Approval","page": 0};[{"field": "state", "value": "Waiting for Approval", "condition": "equal"}];{filter by transaction_state}
