search by merchant id,merchantId,TESTONEPAY,merchantId,TESTONEPAY
search by transaction Id,transactionId,PAY-oLAsZQFXRhGWALe1FF9btQ,originalId,PAY-oLAsZQFXRhGWALe1FF9btQ
search by order Info,orderInfo,TEST_1221121102742,orderReference,TEST_1221121102742
search by merchant Transaction Ref purchase,merchantTransactionRef,TEST_16717662262611115709067,merchantTransRef,TEST_16717662262611115709067
search by merchant Transaction Ref refund,merchantTransactionRef,25641191,merchantTransRef,25641191
search by merchant Transaction Ref request refund,merchantTransactionRef,TESTONEPAY_2b2fc99d-b6f0-4972-a,merchantTransRef,TESTONEPAY_2b2fc99d-b6f0-4972-a
search by qrId,qrId,B1671766469142,qrId,B1671766469142
search by appName,appName,Vietcombank,appName,Vietcombank
search by transactionType,transactionType,Purchase,transactionType,Purchase
search by transactionType,transactionType,Refund,transactionType,Refund
search by transactionType,transactionType,Request Refund,transactionType,Request Refund
search by status,status,approved,status,approved
search by status,status,failed,status,failed
search by status,status,pending,status,pending
search by status,status,401,status,401
search by status,status,405,status,405
search purchase not pr,merchantTransactionRef,TEST_1671767515331404167630,paymentAmount,8787688.00
search refunđ not pr,merchantTransactionRef,2564119,paymentAmount,56565656.00
search request refund not pr,merchantTransactionRef,TESTONEPAY_6d4207fb-608a-461e-a,paymentAmount,1000.00
search purchase grab pr,merchantTransactionRef,TEST_1670318854092318401465,paymentAmount,1995000.00
search refund grab pr,merchantTransactionRef,TESTONEPAY_49078695-0c5d-4b29-8,paymentAmount,9500.00
search request refund grab pr,merchantTransactionRef,TESTONEPAY_a51760b5-007d-4f54-a,paymentAmount,40000.00
